Date,Energy
01/01/2017,711.708
02/01/2017,894.885
03/01/2017,1300.076
04/01/2017,1127.01
05/01/2017,1372.024
06/01/2017,1299.81
07/01/2017,871.826
08/01/2017,659.496
09/01/2017,1486.17
10/01/2017,1147.032
11/01/2017,1397.797
12/01/2017,1438.648
13/01/2017,1475.844
14/01/2017,1155.591
15/01/2017,1086.783
16/01/2017,1197.066
17/01/2017,1521.271
18/01/2017,1288.431
19/01/2017,1412.144
20/01/2017,1478.017
21/01/2017,1245.301
22/01/2017,1107.699
23/01/2017,1566.376
24/01/2017,1561.461
25/01/2017,1560.603
26/01/2017,1440.15
27/01/2017,1247.316
28/01/2017,1557.14
29/01/2017,1148.215
30/01/2017,1542.704
31/01/2017,1446.8
01/02/2017,1417.352
02/02/2017,1555.987
03/02/2017,1454.4046
04/02/2017,1332.312
05/02/2017,1069.312
06/02/2017,1389.78
07/02/2017,1431.219
08/02/2017,1441.548
09/02/2017,1304.098
10/02/2017,1447.563
11/02/2017,1280.533
12/02/2017,1183.908
13/02/2017,1613.171
14/02/2017,1425.352
15/02/2017,1372.538
16/02/2017,1274.955
17/02/2017,1336.283
18/02/2017,1180.343
19/02/2017,1095.062
20/02/2017,1102.306
21/02/2017,1334.529
22/02/2017,1475.179
23/02/2017,1472.199
24/02/2017,1385.58
25/02/2017,1172.144
26/02/2017,1027.218
27/02/2017,1545.794
28/02/2017,1462.811
01/03/2017,1281.743
02/03/2017,1347.399
03/03/2017,1379.199
04/03/2017,1178.166
05/03/2017,1173.398
06/03/2017,1514.501
07/03/2017,1331.949
08/03/2017,1457.097
09/03/2017,1337.911
10/03/2017,1472.795
11/03/2017,1156.112
12/03/2017,1035.477
13/03/2017,1544.775
14/03/2017,1412.881
15/03/2017,1354.218
16/03/2017,1337.534
17/03/2017,1543.385
18/03/2017,1038.803
19/03/2017,1142.695
20/03/2017,1470.498
21/03/2017,1407.748
22/03/2017,1503.267
23/03/2017,1476.975
24/03/2017,1395.876
25/03/2017,1238.028
26/03/2017,1166.704
27/03/2017,1571.663
28/03/2017,1576.229
29/03/2017,1461.583
30/03/2017,1497.271
31/03/2017,1586.593
01/04/2017,1013.78
02/04/2017,1112.36
03/04/2017,1450.871
04/04/2017,1413.679
05/04/2017,1277.004
06/04/2017,1293.922
07/04/2017,1477.299
08/04/2017,1240.263
09/04/2017,1058.4
10/04/2017,1442.996
11/04/2017,1500.476
12/04/2017,1473.189
13/04/2017,1401.508
14/04/2017,1577.883
15/04/2017,1257.181
16/04/2017,941.943
17/04/2017,1457.554
18/04/2017,1489.305
19/04/2017,1487.476
20/04/2017,1570.338
21/04/2017,1588.472
22/04/2017,1056.674
23/04/2017,1084.203
24/04/2017,1509.087
25/04/2017,1411.178
26/04/2017,1407.103
27/04/2017,1488.997
28/04/2017,1545.1
29/04/2017,1245.228
30/04/2017,1116.893
01/05/2017,1487.835
02/05/2017,1500.016
03/05/2017,1619.07
04/05/2017,1372.967
05/05/2017,1548.792
06/05/2017,1281.758
07/05/2017,1227.763
08/05/2017,1618.164
09/05/2017,1612.869
10/05/2017,1500.916
11/05/2017,1590.342
12/05/2017,1509.506
13/05/2017,1240.119
14/05/2017,1088.896
15/05/2017,1786.4
16/05/2017,1591.944
17/05/2017,1552.612
18/05/2017,1539.194
19/05/2017,1578.2
20/05/2017,1223.17
21/05/2017,1127.708
22/05/2017,1529.894
23/05/2017,1582.844
24/05/2017,1539.711
25/05/2017,1651.821
26/05/2017,1803.766
27/05/2017,1062.313
28/05/2017,869.599
29/05/2017,1156.442
30/05/2017,1701.564
31/05/2017,1513.553
