Station_Name,City,StartDateTime,EndDateTime,ChargingTime,Energy
COMM VITALITY / 1500PEARL1,Boulder,10/25/2019 9:24,10/25/2019 12:14,2:49:57,15.143
COMM VITALITY / 1400 WALNUT1,Boulder,10/25/2019 9:30,10/25/2019 12:18,2:48:15,14.704
COMM VITALITY / 1100WALNUT1,Boulder,10/25/2019 9:52,10/25/2019 13:26,3:21:21,18.485
BOULDER / N BOULDER REC 1,Boulder,10/25/2019 10:05,10/25/2019 10:32,0:26:34,1.513
COMM VITALITY / 1100WALNUT1,Boulder,10/25/2019 10:23,10/25/2019 11:34,1:11:03,6.58
BOULDER / N BOULDER REC 1,Boulder,10/25/2019 11:10,10/25/2019 13:06,1:55:20,8.998
COMM VITALITY / 1104 SPRUCE1,Boulder,10/25/2019 12:03,10/25/2019 13:34,1:31:01,3.921
COMM VITALITY / 1000WALNUT2,Boulder,10/25/2019 12:13,10/25/2019 12:26,0:11:25,1.095
COMM VITALITY / BOULDER JCTN,Boulder,10/25/2019 13:02,10/25/2019 14:30,1:26:50,10.335
BOULDER / ATRIUM ST1,Boulder,10/25/2019 13:20,10/25/2019 14:53,0:32:18,1.547
COMM VITALITY / 1000WALNUT2,Boulder,10/26/2019 13:46,10/26/2019 15:55,2:07:49,12.776
BOULDER / N BOULDER REC 1,Boulder,10/28/2019 18:25,10/28/2019 19:31,1:05:52,6.894
BOULDER / BASELINE ST1,Boulder,10/25/2019 14:20,10/25/2019 15:13,0:52:36,2.927
COMM VITALITY / 1500PEARL2,Boulder,10/26/2019 13:52,10/26/2019 14:50,0:57:54,5.799
COMM VITALITY / 1100WALNUT1,Boulder,10/26/2019 13:57,10/26/2019 16:40,1:04:04,6.516
BOULDER / BASELINE ST1,Boulder,10/26/2019 14:13,10/26/2019 18:19,2:26:36,9.165
BOULDER / REC CENTER ST2,Boulder,10/26/2019 14:25,10/26/2019 18:07,0:00:00,0
COMM VITALITY / 1100WALNUT1,Boulder,10/26/2019 16:26,10/26/2019 17:25,0:59:06,3.274
COMM VITALITY / 1000WALNUT1,Boulder,10/26/2019 16:31,10/26/2019 18:04,1:32:26,9.666
BOULDER / REC CENTER ST2,Boulder,10/26/2019 16:58,10/26/2019 19:10,2:10:55,13.133
BOULDERJUNCTION / JUNCTION ST1,Boulder,10/26/2019 17:57,10/26/2019 19:21,1:23:59,8.44
COMM VITALITY / 1500PEARL1,Boulder,10/26/2019 18:40,10/26/2019 19:30,0:50:20,2.705
COMM VITALITY / 1100WALNUT1,Boulder,10/26/2019 18:42,10/26/2019 21:04,2:21:27,7.288
COMM VITALITY / 1104 SPRUCE1,Boulder,10/26/2019 18:42,10/26/2019 20:32,1:49:29,10.478
COMM VITALITY / 1104 SPRUCE1,Boulder,10/26/2019 20:17,10/27/2019 0:03,3:01:31,12.438
COMM VITALITY / 1000WALNUT2,Boulder,10/26/2019 20:25,10/26/2019 21:25,0:46:35,4.252
BOULDER / N BOULDER REC 1,Boulder,10/27/2019 8:47,10/27/2019 12:00,1:52:15,5.695
COMM VITALITY / 2200 BROADWAY1,Boulder,10/27/2019 9:13,10/27/2019 11:16,2:02:39,6.246
BOULDER / N BOULDER REC 1,Boulder,10/27/2019 9:36,10/27/2019 10:53,1:16:37,5.276
COMM VITALITY / 1500PEARL1,Boulder,10/27/2019 10:51,10/27/2019 11:50,0:57:57,3.373
BOULDER / N BOULDER REC 1,Boulder,10/27/2019 11:12,10/27/2019 12:39,1:26:56,8.483
BOULDER / BASELINE ST1,Boulder,10/27/2019 12:18,10/27/2019 18:30,6:11:05,38.662
BOULDER / N BOULDER REC 1,Boulder,10/27/2019 15:23,10/27/2019 18:05,2:41:49,11.338
COMM VITALITY / 1000WALNUT2,Boulder,10/27/2019 15:46,10/27/2019 20:13,1:22:07,3.896
BOULDER / EAST REC,Boulder,10/27/2019 15:57,10/27/2019 17:48,1:51:21,6.38
BOULDER / N BOULDER REC 1,Boulder,10/27/2019 16:08,10/27/2019 20:52,4:43:30,14.488
COMM VITALITY / 1000WALNUT2,Boulder,10/27/2019 17:16,10/27/2019 17:16,0:00:00,0
BOULDER / N BOULDER REC 1,Boulder,10/27/2019 18:18,10/27/2019 19:58,1:40:06,5.527
BOULDER / ALPINE ST1,Boulder,10/27/2019 18:48,10/28/2019 7:14,5:28:07,33.865
COMM VITALITY / 1104 SPRUCE1,Boulder,10/27/2019 19:00,10/27/2019 19:45,0:45:05,3.008
BOULDER / EAST REC,Boulder,10/28/2019 5:39,10/28/2019 5:48,0:08:44,0.437
BOULDER / EAST REC,Boulder,10/28/2019 6:30,10/28/2019 7:27,0:57:06,2.914
BOULDER / N BOULDER REC 1,Boulder,10/28/2019 7:35,10/28/2019 9:05,1:29:18,9.322
BOULDER / EAST REC,Boulder,10/28/2019 9:26,10/28/2019 12:15,2:48:53,8.63
COMM VITALITY / 1400 WALNUT1,Boulder,10/28/2019 9:54,10/28/2019 10:59,1:04:07,6.832
COMM VITALITY / 1500PEARL2,Boulder,10/28/2019 10:30,10/28/2019 10:30,0:00:00,0
COMM VITALITY / 1500PEARL2,Boulder,10/28/2019 10:31,10/28/2019 17:08,4:08:30,14.054
COMM VITALITY / 1400 WALNUT1,Boulder,10/28/2019 10:37,10/28/2019 17:36,6:11:14,37.343
COMM VITALITY / 1104 SPRUCE1,Boulder,10/28/2019 11:04,10/28/2019 16:58,2:11:44,6.481
COMM VITALITY / 1000WALNUT1,Boulder,10/28/2019 12:00,10/28/2019 14:33,1:53:31,11.13
BOULDER / REC CENTER ST2,Boulder,10/28/2019 12:08,10/28/2019 13:03,0:54:28,5.506
COMM VITALITY / 1000WALNUT1,Boulder,10/28/2019 12:18,10/28/2019 14:44,1:47:02,10.483
COMM VITALITY / 1500PEARL1,Boulder,10/28/2019 13:26,10/28/2019 14:39,1:01:04,5.738
BOULDER / REC CENTER ST2,Boulder,10/28/2019 13:54,10/28/2019 16:08,2:14:09,13.516
BOULDER / N BOULDER REC 1,Boulder,10/28/2019 14:08,10/28/2019 14:43,0:34:45,3.618
COMM VITALITY / 1500PEARL2,Boulder,10/28/2019 14:38,10/28/2019 17:57,3:18:14,10.364
BOULDER / ATRIUM ST1,Boulder,10/28/2019 16:07,10/31/2019 11:40,1:09:25,3.038
BOULDER / N BOULDER REC 1,Boulder,10/28/2019 16:22,10/28/2019 17:20,0:57:45,4.874
BOULDER / N BOULDER REC 1,Boulder,10/28/2019 16:52,10/28/2019 17:53,1:01:37,4.957
BOULDER / EAST REC,Boulder,10/28/2019 16:59,10/28/2019 21:15,4:15:18,15.589
COMM VITALITY / 1104 SPRUCE1,Boulder,10/28/2019 17:11,10/28/2019 18:25,1:13:57,7.597
