Date,HE,MWh
2022-07-16,1,12730
2022-07-16,2,12745
2022-07-16,3,12153
2022-07-16,4,11860
2022-07-16,5,11772
2022-07-16,6,11805
2022-07-16,7,12185
2022-07-16,8,12472
2022-07-16,9,12647
2022-07-16,10,13053
2022-07-16,11,13727
2022-07-16,12,14338
2022-07-16,13,14647
2022-07-16,14,15103
2022-07-16,15,15554
2022-07-16,16,15895
2022-07-16,17,16560
2022-07-16,18,17226
2022-07-16,19,17119
2022-07-16,20,16916
2022-07-16,21,16582
2022-07-16,22,16179
2022-07-16,23,14995
2022-07-16,24,14059
2022-07-17,1,12619
2022-07-17,2,12624
2022-07-17,3,11957
2022-07-17,4,11697
2022-07-17,5,11639
2022-07-17,6,11668
2022-07-17,7,11338
2022-07-17,8,12077
2022-07-17,9,12361
2022-07-17,10,13040
2022-07-17,11,13799
2022-07-17,12,14577
2022-07-17,13,15259
2022-07-17,14,15715
2022-07-17,15,16218
2022-07-17,16,16994
2022-07-17,17,17827
2022-07-17,18,18601
2022-07-17,19,18757
2022-07-17,20,18387
2022-07-17,21,18125
2022-07-17,22,17196
2022-07-17,23,16051
2022-07-17,24,14662
2022-07-18,1,13836
2022-07-18,2,13541
2022-07-18,3,13291
2022-07-18,4,13071
2022-07-18,5,13112
2022-07-18,6,13185
2022-07-18,7,13942
2022-07-18,8,15059
2022-07-18,9,15826
2022-07-18,10,16156
2022-07-18,11,16427
2022-07-18,12,17010
2022-07-18,13,17483
2022-07-18,14,17956
2022-07-18,15,18335
2022-07-18,16,18444
2022-07-18,17,18869
2022-07-18,18,19182
2022-07-18,19,19216
2022-07-18,20,18937
2022-07-18,21,18390
2022-07-18,22,17531
2022-07-18,23,15926
2022-07-18,24,14581
