Date,HE,MWh
16/07/2022 0:00,1,12730
16/07/2022 1:00,2,12745
16/07/2022 2:00,3,12153
16/07/2022 3:00,4,11860
16/07/2022 4:00,5,11772
16/07/2022 5:00,6,11805
16/07/2022 6:00,7,12185
16/07/2022 7:00,8,12472
16/07/2022 8:00,9,12647
16/07/2022 9:00,10,13053
16/07/2022 10:00,11,13727
16/07/2022 11:00,12,14338
16/07/2022 12:00,13,14647
16/07/2022 13:00,14,15103
16/07/2022 14:00,15,15554
16/07/2022 15:00,16,15895
16/07/2022 16:00,17,16560
16/07/2022 17:00,18,17226
16/07/2022 18:00,19,17119
16/07/2022 19:00,20,16916
16/07/2022 20:00,21,16582
16/07/2022 21:00,22,16179
16/07/2022 22:00,23,14995
16/07/2022 23:00,24,14059
17/07/2022 0:00,1,12619
17/07/2022 1:00,2,12624
17/07/2022 2:00,3,11957
17/07/2022 3:00,4,11697
17/07/2022 4:00,5,11639
17/07/2022 5:00,6,11668
17/07/2022 6:00,7,11338
17/07/2022 7:00,8,12077
17/07/2022 8:00,9,12361
17/07/2022 9:00,10,13040
17/07/2022 10:00,11,13799
17/07/2022 11:00,12,14577
17/07/2022 12:00,13,15259
17/07/2022 13:00,14,15715
17/07/2022 14:00,15,16218
17/07/2022 15:00,16,16994
17/07/2022 16:00,17,17827
17/07/2022 17:00,18,18601
17/07/2022 18:00,19,18757
17/07/2022 19:00,20,18387
17/07/2022 20:00,21,18125
17/07/2022 21:00,22,17196
17/07/2022 22:00,23,16051
17/07/2022 23:00,24,14662
18/07/2022 0:00,1,13836
18/07/2022 1:00,2,13541
18/07/2022 2:00,3,13291
18/07/2022 3:00,4,13071
18/07/2022 4:00,5,13112
18/07/2022 5:00,6,13185
18/07/2022 6:00,7,13942
18/07/2022 7:00,8,15059
18/07/2022 8:00,9,15826
18/07/2022 9:00,10,16156
18/07/2022 10:00,11,16427
18/07/2022 11:00,12,17010
18/07/2022 12:00,13,17483
18/07/2022 13:00,14,17956
18/07/2022 14:00,15,18335
18/07/2022 15:00,16,18444
18/07/2022 16:00,17,18869
18/07/2022 17:00,18,19182
18/07/2022 18:00,19,19216
18/07/2022 19:00,20,18937
18/07/2022 20:00,21,18390
18/07/2022 21:00,22,17531
18/07/2022 22:00,23,15926
18/07/2022 23:00,24,14581
